date,home_team,away_team,home_goals,away_goals,home_xg,away_xg,league,season,tournament,stage,is_knockout,home_fifa_pts,away_fifa_pts,rest_days_home,rest_days_away
2014-06-12,Brazil,Croatia,3.0,1.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1775.0,1654.0,7,7
2014-06-13,Chile,Australia,3.0,1.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1378.0,1580.0,7,7
2014-06-13,Mexico,Cameroon,1.0,0.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1624.0,1400.0,7,7
2014-06-13,Spain,Netherlands,1.0,5.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1815.0,1738.0,7,7
2014-06-14,Colombia,Greece,3.0,0.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1692.0,1438.0,7,7
2014-06-14,England,Italy,1.0,2.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1790.0,1719.0,7,7
2014-06-14,Ivory Coast,Japan,2.0,1.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1400.0,1614.0,7,7
2014-06-14,Uruguay,Costa Rica,1.0,3.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1678.0,1410.0,7,7
2014-06-15,Argentina,Bosnia and Herzegovina,2.0,1.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1862.0,1400.0,7,7
2014-06-15,France,Honduras,3.0,0.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1840.0,1336.0,7,7
2014-06-15,Switzerland,Ecuador,2.0,1.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1570.0,1608.0,7,7
2014-06-16,Germany,Portugal,4.0,0.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1728.0,1767.0,7,7
2014-06-16,Ghana,United States,1.0,2.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1400.0,1630.0,7,7
2014-06-16,Iran,Nigeria,0.0,0.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1400.0,1400.0,7,7
2014-06-17,Belgium,Algeria,2.0,1.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1744.0,1400.0,7,7
2014-06-17,Brazil,Mexico,0.0,0.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1775.0,1624.0,7,7
2014-06-17,Russia,South Korea,1.0,1.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1400.0,1596.0,7,7
2014-06-18,Australia,Netherlands,2.0,3.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1580.0,1738.0,7,7
2014-06-18,Cameroon,Croatia,0.0,4.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1400.0,1654.0,7,7
2014-06-18,Spain,Chile,0.0,2.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1815.0,1378.0,7,7
2014-06-19,Colombia,Ivory Coast,2.0,1.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1692.0,1400.0,7,7
2014-06-19,Japan,Greece,0.0,0.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1614.0,1438.0,7,7
2014-06-19,Uruguay,England,2.0,1.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1678.0,1790.0,7,7
2014-06-20,Honduras,Ecuador,1.0,2.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1336.0,1608.0,7,7
2014-06-20,Italy,Costa Rica,0.0,1.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1719.0,1410.0,7,7
2014-06-20,Switzerland,France,2.0,5.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1570.0,1840.0,7,7
2014-06-21,Argentina,Iran,1.0,0.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1862.0,1400.0,7,7
2014-06-21,Germany,Ghana,2.0,2.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1728.0,1400.0,7,7
2014-06-21,Nigeria,Bosnia and Herzegovina,1.0,0.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1400.0,1400.0,7,7
2014-06-22,Belgium,Russia,1.0,0.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1744.0,1400.0,7,7
2014-06-22,South Korea,Algeria,2.0,4.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1596.0,1400.0,7,7
2014-06-22,United States,Portugal,2.0,2.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1630.0,1767.0,7,7
2014-06-23,Australia,Spain,0.0,3.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1580.0,1815.0,7,7
2014-06-23,Brazil,Cameroon,4.0,1.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1775.0,1400.0,7,7
2014-06-23,Croatia,Mexico,1.0,3.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1654.0,1624.0,7,7
2014-06-23,Netherlands,Chile,2.0,0.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1738.0,1378.0,7,7
2014-06-24,Costa Rica,England,0.0,0.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1410.0,1790.0,7,7
2014-06-24,Greece,Ivory Coast,2.0,1.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1438.0,1400.0,7,7
2014-06-24,Italy,Uruguay,0.0,1.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1719.0,1678.0,7,7
2014-06-24,Japan,Colombia,1.0,4.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1614.0,1692.0,7,7
2014-06-25,Bosnia and Herzegovina,Iran,3.0,1.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1400.0,1400.0,7,7
2014-06-25,Ecuador,France,0.0,0.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1608.0,1840.0,7,7
2014-06-25,Honduras,Switzerland,0.0,3.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1336.0,1570.0,7,7
2014-06-25,Nigeria,Argentina,2.0,3.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1400.0,1862.0,7,7
2014-06-26,Algeria,Russia,1.0,1.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1400.0,1400.0,7,7
2014-06-26,South Korea,Belgium,0.0,1.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1596.0,1744.0,7,7
2014-06-26,Portugal,Ghana,2.0,1.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1767.0,1400.0,7,7
2014-06-26,United States,Germany,0.0,1.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1630.0,1728.0,7,7
2014-06-28,Brazil,Chile,1.0,1.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1775.0,1378.0,7,7
2014-06-28,Colombia,Uruguay,2.0,0.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1692.0,1678.0,7,7
2014-06-29,Costa Rica,Greece,1.0,1.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1410.0,1438.0,7,7
2014-06-29,Netherlands,Mexico,2.0,1.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1738.0,1624.0,7,7
2014-06-30,France,Nigeria,2.0,0.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1840.0,1400.0,7,7
2014-06-30,Germany,Algeria,2.0,1.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1728.0,1400.0,7,7
2014-07-01,Argentina,Switzerland,1.0,0.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1862.0,1570.0,7,7
2014-07-01,Belgium,United States,2.0,1.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1744.0,1630.0,7,7
2014-07-04,Brazil,Colombia,2.0,1.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1775.0,1692.0,7,7
2014-07-04,France,Germany,0.0,1.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1840.0,1728.0,7,7
2014-07-05,Argentina,Belgium,1.0,0.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1862.0,1744.0,7,7
2014-07-05,Netherlands,Costa Rica,0.0,0.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1738.0,1410.0,7,7
2014-07-08,Brazil,Germany,1.0,7.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1775.0,1728.0,7,7
2014-07-09,Netherlands,Argentina,0.0,0.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1738.0,1862.0,7,7
2014-07-12,Brazil,Netherlands,0.0,3.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1775.0,1738.0,7,7
2014-07-13,Germany,Argentina,1.0,0.0,,,worldcup,2014,FIFA World Cup,UNKNOWN,0,1728.0,1862.0,7,7
2018-06-14,Russia,Saudi Arabia,5.0,0.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1400.0,1280.0,7,7
2018-06-15,Egypt,Uruguay,0.0,1.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1400.0,1678.0,7,7
2018-06-15,Morocco,Iran,0.0,1.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1669.0,1400.0,7,7
2018-06-15,Portugal,Spain,3.0,3.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1767.0,1815.0,7,7
2018-06-16,France,Australia,2.0,1.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1840.0,1580.0,7,7
2018-06-16,Argentina,Iceland,1.0,1.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1862.0,1400.0,7,7
2018-06-16,Peru,Denmark,0.0,1.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1400.0,1548.0,7,7
2018-06-16,Croatia,Nigeria,2.0,0.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1654.0,1400.0,7,7
2018-06-17,Costa Rica,Serbia,0.0,1.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1410.0,1536.0,7,7
2018-06-17,Germany,Mexico,0.0,1.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1728.0,1624.0,7,7
2018-06-17,Brazil,Switzerland,1.0,1.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1775.0,1570.0,7,7
2018-06-18,Sweden,South Korea,1.0,0.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1400.0,1596.0,7,7
2018-06-18,Belgium,Panama,3.0,0.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1744.0,1398.0,7,7
2018-06-18,Tunisia,England,1.0,2.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1400.0,1790.0,7,7
2018-06-19,Colombia,Japan,1.0,2.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1692.0,1614.0,7,7
2018-06-19,Poland,Senegal,1.0,2.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1556.0,1638.0,7,7
2018-06-19,Russia,Egypt,3.0,1.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1400.0,1400.0,7,7
2018-06-20,Portugal,Morocco,1.0,0.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1767.0,1669.0,7,7
2018-06-20,Uruguay,Saudi Arabia,1.0,0.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1678.0,1280.0,7,7
2018-06-20,Iran,Spain,0.0,1.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1400.0,1815.0,7,7
2018-06-21,Denmark,Australia,1.0,1.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1548.0,1580.0,7,7
2018-06-21,France,Peru,1.0,0.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1840.0,1400.0,7,7
2018-06-21,Argentina,Croatia,0.0,3.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1862.0,1654.0,7,7
2018-06-22,Brazil,Costa Rica,2.0,0.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1775.0,1410.0,7,7
2018-06-22,Nigeria,Iceland,2.0,0.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1400.0,1400.0,7,7
2018-06-22,Serbia,Switzerland,1.0,2.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1536.0,1570.0,7,7
2018-06-23,Belgium,Tunisia,5.0,2.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1744.0,1400.0,7,7
2018-06-23,South Korea,Mexico,1.0,2.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1596.0,1624.0,7,7
2018-06-23,Germany,Sweden,2.0,1.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1728.0,1400.0,7,7
2018-06-24,England,Panama,6.0,1.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1790.0,1398.0,7,7
2018-06-24,Japan,Senegal,2.0,2.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1614.0,1638.0,7,7
2018-06-24,Poland,Colombia,0.0,3.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1556.0,1692.0,7,7
2018-06-25,Russia,Uruguay,0.0,3.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1400.0,1678.0,7,7
2018-06-25,Saudi Arabia,Egypt,2.0,1.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1280.0,1400.0,7,7
2018-06-25,Spain,Morocco,2.0,2.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1815.0,1669.0,7,7
2018-06-25,Iran,Portugal,1.0,1.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1400.0,1767.0,7,7
2018-06-26,Australia,Peru,0.0,2.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1580.0,1400.0,7,7
2018-06-26,Denmark,France,0.0,0.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1548.0,1840.0,7,7
2018-06-26,Nigeria,Argentina,1.0,2.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1400.0,1862.0,7,7
2018-06-26,Iceland,Croatia,1.0,2.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1400.0,1654.0,7,7
2018-06-27,South Korea,Germany,2.0,0.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1596.0,1728.0,7,7
2018-06-27,Mexico,Sweden,0.0,3.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1624.0,1400.0,7,7
2018-06-27,Serbia,Brazil,0.0,2.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1536.0,1775.0,7,7
2018-06-27,Switzerland,Costa Rica,2.0,2.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1570.0,1410.0,7,7
2018-06-28,Japan,Poland,0.0,1.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1614.0,1556.0,7,7
2018-06-28,Senegal,Colombia,0.0,1.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1638.0,1692.0,7,7
2018-06-28,Panama,Tunisia,1.0,2.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1398.0,1400.0,7,7
2018-06-28,England,Belgium,0.0,1.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1790.0,1744.0,7,7
2018-06-30,France,Argentina,4.0,3.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1840.0,1862.0,7,7
2018-06-30,Uruguay,Portugal,2.0,1.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1678.0,1767.0,7,7
2018-07-01,Russia,Spain,1.0,1.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1400.0,1815.0,7,7
2018-07-01,Croatia,Denmark,1.0,1.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1654.0,1548.0,7,7
2018-07-02,Brazil,Mexico,2.0,0.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1775.0,1624.0,7,7
2018-07-02,Belgium,Japan,3.0,2.0,,,worldcup,2018,FIFA World Cup,UNKNOWN,0,1744.0,1614.0,7,7
